trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
845,False,"{'a': 0.5, 'e': 0.2986676966997937}",25,15,-23.066298782065374,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
846,False,"{'a': 0.5, 'e': 0.29723582548129573}",25,0,-49.61135128525094,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
847,False,"{'a': 0.5, 'e': 0.295803285482316}",25,20,9.045437970010932,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.5, 'e': 0.29437007992606856}",30,3,23.716110476960303,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
849,False,"{'a': 0.5, 'e': 0.29293621203726544}",25,10,10.908635033010697,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
850,False,"{'a': 0.5, 'e': 0.2915016850421088}",25,2,34.723043951965586,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.5, 'e': 0.29006650216828406}",20,4,22.201143218916876,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.5, 'e': 0.2886306666449516}",20,12,7.421348606426512,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
853,False,"{'a': 0.5, 'e': 0.2871941817027409}",20,12,1.6383711241358958,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.5, 'e': 0.2857570505737428}",30,19,21.90631044242319,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.5, 'e': 0.28431927649150124}",20,8,-17.220535844465918,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
856,False,"{'a': 0.5, 'e': 0.2828808626910075}",25,6,5.613418959629497,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
857,False,"{'a': 0.5, 'e': 0.28144181240869204}",20,7,-16.334096527903547,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
858,False,"{'a': 0.5, 'e': 0.2800021288824176}",20,16,9.228319483680277,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.5, 'e': 0.2785618153514711}",25,14,8.026266117543116,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
860,False,"{'a': 0.5, 'e': 0.2771208750565576}",25,14,-12.749572476090588,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
861,False,"{'a': 0.5, 'e': 0.2756793112397921}",30,12,-24.421588091584475,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
862,False,"{'a': 0.5, 'e': 0.27423712714469284}",30,7,19.122721959574527,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
863,False,"{'a': 0.5, 'e': 0.27279432601617304}",25,6,-25.77267520479382,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
864,False,"{'a': 0.5, 'e': 0.2713509111005347}",30,0,45.211128455869186,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
865,False,"{'a': 0.5, 'e': 0.2699068856454609}",30,12,19.523387000756664,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
866,False,"{'a': 0.5, 'e': 0.26846225290000847}",20,0,-13.067452235912997,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
867,False,"{'a': 0.5, 'e': 0.26701701611460005}",20,6,-8.016478296140841,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
868,False,"{'a': 0.5, 'e': 0.265571178541018}",30,0,-17.787066252620118,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
869,False,"{'a': 0.5, 'e': 0.26412474343239634}",25,11,15.780627989339758,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.5, 'e': 0.26267771404321355}",30,12,-3.9610578867470436,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
871,False,"{'a': 0.5, 'e': 0.2612300936292848}",25,10,5.631689548938303,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
872,False,"{'a': 0.5, 'e': 0.25978188544775555}",20,0,-32.775973431672725,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
873,False,"{'a': 0.5, 'e': 0.25833309275709365}",25,5,-26.092164441736315,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
874,False,"{'a': 0.5, 'e': 0.2568837188170823}",25,14,15.810877349332399,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
875,False,"{'a': 0.5, 'e': 0.2554337668888117}",25,9,27.498075847531332,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
876,False,"{'a': 0.5, 'e': 0.2539832402346734}",25,9,27.20417302433407,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
877,False,"{'a': 0.5, 'e': 0.2525321421183517}",25,1,30.742848520788492,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
878,False,"{'a': 0.5, 'e': 0.25108047580481696}",20,1,-75.35678123840242,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
879,False,"{'a': 0.5, 'e': 0.2496282445603174}",30,10,25.89654939622556,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
880,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,16,-6.938492837768407,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
881,False,"{'a': 0.5, 'e': 0.24672210034976688}",25,18,10.57545989140447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
882,False,"{'a': 0.5, 'e': 0.24526819392253935}",20,16,8.566531815326345,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
883,False,"{'a': 0.5, 'e': 0.24381373564197878}",20,10,18.277578452573646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
884,False,"{'a': 0.5, 'e': 0.24235872878061585}",30,0,-54.94110018750838,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
885,False,"{'a': 0.5, 'e': 0.24090317661221541}",25,13,13.139680769378845,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
886,False,"{'a': 0.5, 'e': 0.23944708241176946}",20,12,-25.94725137847326,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
887,False,"{'a': 0.5, 'e': 0.23799044945548886}",35,12,20.511985193018468,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
888,False,"{'a': 0.5, 'e': 0.2365332810207974}",25,19,5.446199540574295,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
889,False,"{'a': 0.5, 'e': 0.23507558038632345}",30,16,-8.513451662990239,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
890,False,"{'a': 0.5, 'e': 0.233617350831893}",25,0,-2.541979614780482,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
891,False,"{'a': 0.5, 'e': 0.2321585956385215}",20,3,32.35183249413674,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
892,False,"{'a': 0.5, 'e': 0.2306993180884078}",30,9,-17.10132760141443,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
893,False,"{'a': 0.5, 'e': 0.22923952146492568}",20,0,14.741922947351544,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
